year,lon,lat,dep,mag
2000,101.13,22.98,5.0,2.1
2000,100.95,27.72,16.0,3.1
2000,100.97,27.52,8.0,2.4
2000,102.33,29.78,12.0,1.8
2000,102.65,26.98,14.0,2.1
2000,102.6,28.52,12.0,4.2
2000,102.9,24.57,10.0,2.3
2000,103.68,32.57,10.0,1.3
2000,104.12,29.18,5.0,2.0
2000,104.08,31.53,8.0,1.1
2000,102.27,29.8,5.0,2.0
2000,101.27,25.62,10.0,2.2
2000,101.25,25.67,10.0,2.6
2000,102.87,24.58,5.0,3.2
2000,102.77,26.82,11.0,2.0
2000,102.87,24.57,10.0,3.1
2000,104.07,31.57,10.0,1.7
2000,102.88,24.58,10.0,2.5
2000,105.05,32.12,5.0,2.3
2000,104.08,31.67,24.0,1.8
2000,103.12,31.13,1.0,1.9
2000,103.95,31.43,10.0,1.2
2000,104.07,31.47,9.0,1.3
2000,104.02,31.23,5.0,1.3
2000,101.17,26.65,10.0,2.5
2000,101.13,26.57,5.0,1.5
2000,104.05,31.63,5.0,2.5
2000,102.92,24.58,15.0,2.1
2000,102.72,32.07,12.0,2.0
2000,103.87,31.2,1.0,2.1
2000,103.0,29.22,10.0,2.1
2000,104.07,31.58,15.0,1.3
2000,102.15,29.37,5.0,2.4
2000,105.03,32.12,14.0,2.0
2000,105.32,32.18,4.0,2.2
2000,103.9,31.28,11.0,1.6
2000,104.02,28.12,7.0,2.2
2000,100.95,31.37,7.0,2.9
2000,100.58,26.8,25.0,1.3
2000,102.35,27.93,9.0,1.5
2000,103.18,31.72,2.0,2.2
2000,103.42,23.83,10.0,2.1
2000,102.5,28.93,14.0,1.8
2000,104.05,28.22,5.0,2.1
2000,102.25,25.82,5.0,2.2
2000,100.35,25.82,10.0,2.2
2000,103.68,31.18,5.0,1.6
2000,102.08,24.43,5.0,3.0
2000,103.65,31.18,11.0,1.8
2000,104.12,31.52,5.0,1.3
2000,101.22,31.83,11.0,2.2
2000,100.95,27.43,20.0,2.2
2000,102.07,31.73,11.0,1.9
2000,102.23,30.13,5.0,1.5
2000,104.08,29.78,8.0,1.8
2000,105.67,29.33,5.0,2.1
2000,100.88,31.28,5.0,2.1
2000,98.88,25.25,10.0,3.6
2000,102.43,30.18,7.0,1.8
2000,103.48,30.72,1.0,1.7
2000,101.42,31.77,5.0,2.1
2000,105.12,32.07,19.0,2.4
2000,103.32,30.92,1.0,1.6
2000,102.33,29.15,9.0,1.9
2000,102.87,24.58,5.0,2.2
2000,103.37,31.85,13.0,1.5
2000,104.03,23.3,5.0,2.2
2000,102.78,23.92,10.0,1.3
2000,104.08,31.43,10.0,1.4
2000,103.98,29.38,5.0,2.5
2000,102.38,29.02,25.0,2.1
2000,103.88,31.22,9.0,1.4
2000,104.6,33.22,6.0,2.3
2000,103.92,31.27,9.0,1.2
2000,101.08,25.57,30.0,5.9
2000,101.12,25.58,30.0,6.5
2000,101.98,29.5,2.0,1.9
2000,101.92,29.5,13.0,2.2
2000,102.42,30.08,7.0,1.6
2000,102.42,28.98,13.0,2.4
2000,102.62,29.97,15.0,1.8
2000,103.4,31.03,5.0,1.9
2000,103.82,31.18,5.0,1.5
2000,102.47,23.52,10.0,2.8
2000,102.88,24.58,10.0,2.2
2000,103.73,31.13,11.0,1.4
2000,103.37,31.03,5.0,1.7
2000,103.58,28.85,21.0,1.5
2000,101.27,26.98,5.0,2.4
2000,101.98,29.53,9.0,1.9
2000,102.53,29.05,8.0,2.1
